,快递运输数量(件) (Express delivery quantity (PCS))
2018-07-19,156.0
2018-07-20,107.0
2018-07-21,108.0
2018-07-22,74.0
2018-07-23,71.0
2018-07-24,72.0
2018-07-25,133.0
2018-07-26,278.0
2018-07-27,428.0
2018-07-28,484.0
2018-07-29,541.0
2018-07-30,611.0
2018-07-31,485.0
2018-08-01,516.0
2018-08-02,518.0
2018-08-03,569.0
2018-08-04,547.0
2018-08-05,534.0
2018-08-06,596.0
2018-08-07,494.0
2018-08-08,463.0
2018-08-09,344.0
2018-08-10,224.0
2018-08-11,152.0
2018-08-12,142.0
2018-08-13,96.0
2018-08-14,81.0
2018-08-15,73.0
2018-08-16,63.0
2018-08-17,69.0
2018-08-18,158.0
2018-08-19,550.0
2018-08-20,581.0
2018-08-21,488.0
2018-08-22,500.0
2018-08-23,459.0
2018-08-24,368.0
2018-08-25,113.0
2018-08-26,502.0
2018-08-27,515.0
2018-08-28,133.0
2018-08-29,110.0
2018-08-30,88.0
2018-08-31,559.0
2018-09-01,491.0
2018-09-02,468.0
2018-09-03,499.0
2018-09-04,404.0
2018-09-05,454.0
2018-09-06,506.0
2018-09-07,473.0
2018-09-08,540.0
2018-09-09,547.0
2018-09-10,517.0
2018-09-11,413.0
2018-09-12,384.0
2018-09-13,286.0
2018-09-14,206.0
2018-09-15,155.0
2018-09-16,223.0
2018-09-17,533.0
2018-09-18,520.0
2018-09-19,582.0
2018-09-20,478.0
2018-09-21,531.0
2018-09-22,585.0
2018-09-23,579.0
2018-09-24,607.0
2018-09-25,621.0
2018-09-26,692.0
2018-09-27,522.0
2018-09-28,517.0
2018-09-29,413.0
2018-09-30,267.0
2018-10-01,178.0
2018-10-02,154.0
2018-10-03,122.0
2018-10-04,88.0
2018-10-05,83.0
2018-10-06,72.0
2018-10-07,73.0
2018-10-08,148.0
2018-10-09,557.0
2018-10-10,614.0
2018-10-11,467.0
2018-10-12,527.0
2018-10-13,578.0
2018-10-14,486.0
2018-10-15,520.0
2018-10-16,561.0
2018-10-17,523.0
2018-10-18,551.0
2018-10-19,526.0
2018-10-20,617.0
2018-10-21,523.0
2018-10-22,526.0
2018-10-23,402.0
2018-10-24,284.0
2018-10-25,185.0
2018-10-26,175.0
2018-10-27,110.0
2018-10-28,91.0
2018-10-29,74.0
2018-10-30,68.0
2018-10-31,70.0
2018-11-01,124.0
2018-11-02,283.0
2018-11-03,424.0
2018-11-04,92.0
2018-11-05,348.95075757575756
2018-11-06,406.0
2018-11-07,435.0
2018-11-08,517.0
2018-11-09,457.0
2018-11-10,512.0
2018-11-11,454.0
2018-11-12,485.0
2018-11-13,535.0
2018-11-14,447.0
2018-11-15,443.0
2018-11-16,298.0
2018-11-17,210.0
2018-11-18,145.0
2018-11-19,131.0
2018-11-20,94.0
2018-11-21,79.0
2018-11-22,64.0
2018-11-23,59.0
2018-11-24,70.0
2018-11-25,104.0
2018-11-26,268.0
2018-11-27,375.0
2018-11-28,414.0
2018-11-29,475.0
2018-11-30,526.0
2018-12-01,442.0
2018-12-02,480.0
2018-12-03,438.0
2018-12-04,472.0
2018-12-05,456.0
2018-12-06,444.0
2018-12-07,348.95075757575756
2018-12-08,348.95075757575756
2018-12-09,348.95075757575756
2018-12-10,242.0
2018-12-11,211.0
2018-12-12,149.0
2018-12-13,118.0
2018-12-14,96.0
2018-12-15,75.0
2018-12-16,62.0
2018-12-17,63.0
2018-12-18,72.0
2018-12-19,132.0
2018-12-20,500.0
2018-12-21,571.0
2018-12-22,152.0
2018-12-23,348.95075757575756
2018-12-24,578.0
2018-12-25,491.0
2018-12-26,541.0
2018-12-27,597.0
2018-12-28,558.0
2018-12-29,580.0
2018-12-30,543.0
2018-12-31,542.0
2019-01-01,589.0
2019-01-02,494.0
2019-01-03,567.0
2019-01-04,594.0
2019-01-05,508.0
2019-01-06,542.0
2019-01-07,545.0
2019-01-08,531.0
2019-01-09,535.0
2019-01-10,530.0
2019-01-11,575.0
2019-01-12,563.0
2019-01-13,537.0
2019-01-14,520.0
2019-01-15,407.0
2019-01-16,242.0
2019-01-17,193.0
2019-01-18,153.0
2019-01-19,120.0
2019-01-20,101.0
2019-01-21,95.0
2019-01-22,84.0
2019-01-23,137.0
2019-01-24,262.0
2019-01-25,402.0
2019-01-26,499.0
2019-01-27,506.0
2019-01-28,517.0
2019-01-29,535.0
2019-01-30,486.0
2019-01-31,485.0
2019-02-01,502.0
2019-02-02,499.0
2019-02-03,460.0
2019-02-04,538.0
2019-02-05,516.0
2019-02-06,471.0
2019-02-07,347.0
2019-02-08,232.0
2019-02-09,166.0
2019-02-10,142.0
2019-02-11,99.0
2019-02-12,74.0
2019-02-13,68.0
2019-02-14,65.0
2019-02-15,72.0
2019-02-16,113.0
2019-02-17,222.0
2019-02-18,343.0
2019-02-19,419.0
2019-02-20,501.0
2019-02-21,159.0
2019-02-22,294.0
2019-02-23,449.0
2019-02-24,70.0
2019-02-25,348.95075757575756
2019-02-26,348.95075757575756
2019-02-27,348.95075757575756
2019-02-28,348.95075757575756
2019-03-01,112.0
2019-03-02,464.0
2019-03-03,334.0
2019-03-04,216.0
2019-03-05,167.0
2019-03-06,123.0
2019-03-07,99.0
2019-03-08,86.0
2019-03-09,72.0
2019-03-10,62.0
2019-03-11,70.0
2019-03-12,121.0
2019-03-13,213.0
2019-03-14,349.0
2019-03-15,420.0
2019-03-16,521.0
2019-03-17,550.0
2019-03-18,482.0
2019-03-19,492.0
2019-03-20,456.0
2019-03-21,470.0
2019-03-22,482.0
2019-03-23,492.0
2019-03-24,537.0
2019-03-25,492.0
2019-03-26,437.0
2019-03-27,300.0
2019-03-28,207.0
2019-03-29,137.0
2019-03-30,128.0
2019-03-31,95.0
2019-04-01,72.0
2019-04-02,67.0
2019-04-03,59.0
2019-04-04,65.0
2019-04-05,128.0
2019-04-06,488.0
2019-04-07,562.0
2019-04-08,437.0
2019-04-09,454.0
2019-04-10,526.0
2019-04-11,489.0
2019-04-12,500.0
2019-04-13,584.0
2019-04-14,521.0
2019-04-15,530.0
2019-04-16,551.0
2019-04-17,579.0
